Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
6.6050E+9	3.0175E+1	1.1283E+1	4.1459E+0
6.9461E+9	2.9611E+1	1.1250E+1	4.3475E+0
7.3049E+9	2.9076E+1	1.1235E+1	4.5658E+0
7.6822E+9	2.8635E+1	1.1091E+1	4.7398E+0
8.0789E+9	2.8119E+1	1.1106E+1	4.9918E+0
8.4962E+9	2.7627E+1	1.0970E+1	5.1853E+0
8.9350E+9	2.7119E+1	1.0863E+1	5.3998E+0
9.3965E+9	2.6627E+1	1.0637E+1	5.5604E+0
9.8818E+9	2.6155E+1	1.0396E+1	5.7150E+0
1.0392E+10	2.5664E+1	1.0090E+1	5.8332E+0
1.0929E+10	2.5366E+1	9.8919E+0	6.0143E+0
1.1493E+10	2.4981E+1	9.5546E+0	6.1093E+0
1.2087E+10	2.4817E+1	9.2591E+0	6.2262E+0
1.2711E+10	2.4620E+1	9.0061E+0	6.3688E+0
1.3368E+10	2.4352E+1	8.5868E+0	6.3859E+0
1.4058E+10	2.4233E+1	8.4689E+0	6.6235E+0
1.4784E+10	2.4097E+1	8.3055E+0	6.8313E+0
1.5548E+10	2.4037E+1	7.9943E+0	6.9149E+0
1.6351E+10	2.3823E+1	7.8893E+0	7.1765E+0
1.7196E+10	2.3915E+1	7.7277E+0	7.3926E+0
1.8084E+10	2.3794E+1	7.7818E+0	7.8288E+0
1.9018E+10	2.3792E+1	7.6926E+0	8.1388E+0
2.0000E+10	2.3731E+1	7.6872E+0	8.5532E+0
